ID,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,absences,result
159,M,17,Rural,greater than 3 persons,secondary education,higher education,at_home,other,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,no,excellent,high,2,1
160,F,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,more than 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,very low,0,1
161,M,18,Urban,3 persons or less,secondary education,primary education (4th grade),services,services,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,normal,medium,2,1
162,F,18,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,services,course,other,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,no,yes,yes,good,medium,10,1
163,F,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,reputation,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,no,normal,medium,8,1
164,F,16,Urban,greater than 3 persons,secondary education,secondary education,other,other,course,other,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,no,yes,yes,good,medium,4,1
165,M,16,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),services,other,course,mother,less than 15 min.,2 to 5 hours,2,no,no,no,no,yes,yes,no,good,high,0,1
166,F,15,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,medium,6,1
167,F,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,mother,30 min. to 1 hour,less than 2 hours,1,no,no,no,yes,yes,yes,yes,excellent,very high,2,0
168,M,15,Urban,greater than 3 persons,higher education,secondary education,teacher,services,course,father,15 to 30 min.,more than 10 hours,0,yes,yes,no,no,yes,yes,yes,bad,low,6,1
169,F,15,Urban,greater than 3 persons,secondary education,secondary education,services,services,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,no,yes,no,very bad,medium,24,0
170,M,16,Urban,greater than 3 persons,higher education,higher education,services,services,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,0,1
171,M,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,reputation,father,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,bad,medium,4,1
172,F,15,Urban,greater than 3 persons,higher education,higher education,teacher,services,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,low,2,1
173,F,16,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,at_home,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,normal,high,4,1
174,M,17,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,22,0
175,F,15,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
176,F,15,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),at_home,other,home,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,no,yes,good,high,0,1
177,F,15,Urban,greater than 3 persons,secondary education,5th to 9th grade,health,services,home,father,less than 15 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,normal,medium,2,1
178,F,16,Urban,3 persons or less,secondary education,secondary education,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,high,0,1
179,M,17,Urban,3 persons or less,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,high,0,1
180,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,normal,high,0,1
181,M,17,Urban,greater than 3 persons,,secondary education,other,other,reputation,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,medium,4,1
182,M,16,Rural,greater than 3 persons,higher education,5th to 9th grade,teacher,services,other,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,8,1
183,M,17,Urban,greater than 3 persons,higher education,secondary education,other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,excellent,low,4,1
184,M,16,Urban,greater than 3 persons,higher education,secondary education,teacher,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,normal,high,4,1
185,M,16,Urban,greater than 3 persons,secondary education,secondary education,services,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,low,0,1
186,F,17,Urban,greater than 3 persons,5th to 9th grade,higher education,services,services,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,0,1
187,F,17,Urban,3 persons or less,secondary education,secondary education,other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,32,1
188,F,16,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,very bad,low,8,1
189,M,17,Urban,greater than 3 persons,secondary education,secondary education,services,services,other,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,6,1
190,M,16,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,services,services,other,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,normal,medium,0,1
191,M,16,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,low,0,1
192,F,17,Urban,greater than 3 persons,secondary education,secondary education,health,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,normal,medium,10,1
193,M,17,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,no,normal,very low,6,1
194,F,16,Urban,greater than 3 persons,5th to 9th grade,secondary education,services,services,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,medium,6,1
195,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,0,1
196,M,17,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,services,other,other,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,high,16,1
197,M,16,Rural,greater than 3 persons,secondary education,secondary education,services,services,reputation,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
198,M,16,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,other,home,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,excellent,medium,0,1
199,F,17,Urban,3 persons or less,5th to 9th grade,higher education,services,services,course,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,medium,8,1
200,M,17,Urban,greater than 3 persons,higher education,higher education,services,teacher,home,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,excellent,low,4,1
201,M,16,Rural,3 persons or less,secondary education,secondary education,teacher,other,home,father,30 min. to 1 hour,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,normal,medium,16,1
202,F,17,Urban,greater than 3 persons,higher education,higher education,services,teacher,home,mother,15 to 30 min.,less than 2 hours,1,no,yes,no,no,yes,yes,yes,good,low,30,1
203,F,16,Urban,3 persons or less,higher education,higher education,teacher,teacher,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,very high,0,1
204,F,16,Urban,greater than 3 persons,higher education,secondary education,health,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,2,1
205,F,16,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,good,high,4,1
206,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,no,good,high,0,1
207,F,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,medium,21,1
208,F,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,reputation,mother,15 to 30 min.,more than 10 hours,0,no,yes,no,yes,no,yes,yes,excellent,medium,6,1
209,F,17,Urban,greater than 3 persons,secondary education,higher education,at_home,services,home,mother,less than 15 min.,5 to 10 hours,1,no,yes,yes,no,yes,yes,yes,good,high,14,0
210,F,16,Urban,greater than 3 persons,secondary education,primary education (4th grade),services,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,bad,medium,2,1
211,F,16,Urban,greater than 3 persons,higher education,secondary education,teacher,other,other,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,very bad,medium,4,1
212,F,16,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,home,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,no,good,medium,2,1
213,F,17,Rural,greater than 3 persons,higher education,secondary education,teacher,other,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,high,0,1
214,F,19,Urban,greater than 3 persons,secondary education,secondary education,other,other,reputation,other,less than 15 min.,more than 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,4,1
215,M,17,Urban,3 persons or less,higher education,higher education,services,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,excellent,medium,15,1
216,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,normal,medium,0,1
217,M,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,high,10,1
218,F,17,Rural,3 persons or less,higher education,higher education,services,other,other,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,no,excellent,low,6,1
219,F,17,Urban,3 persons or less,secondary education,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,high,2,1
220,F,17,Urban,greater than 3 persons,higher education,secondary education,other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,normal,high,16,1
221,M,18,Urban,3 persons or less,secondary education,secondary education,services,health,home,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,normal,low,10,1
222,F,17,Urban,greater than 3 persons,5th to 9th grade,secondary education,at_home,other,home,father,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,no,normal,medium,4,1
223,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,at_home,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
224,F,17,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),at_home,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,low,0,1
225,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,reputation,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,no,good,medium,12,1
226,F,16,Urban,greater than 3 persons,5th to 9th grade,secondary education,services,teacher,other,mother,less than 15 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,yes,bad,medium,0,1
227,M,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,3,no,yes,yes,no,yes,yes,yes,normal,medium,9,1
228,F,16,Urban,greater than 3 persons,higher education,higher education,teacher,services,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,no,yes,yes,excellent,medium,4,1
229,F,18,Rural,greater than 3 persons,secondary education,primary education (4th grade),other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,4,0
230,F,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,excellent,medium,2,1
231,M,17,Urban,3 persons or less,5th to 9th grade,secondary education,services,services,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,excellent,medium,0,1
232,M,18,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,more than 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,good,medium,2,1
233,F,17,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,normal,low,0,1
234,F,17,Urban,3 persons or less,higher education,secondary education,health,other,reputation,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,normal,low,0,1
235,M,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,very high,0,1
236,M,17,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,reputation,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,good,very high,0,1
237,M,16,Urban,greater than 3 persons,higher education,higher education,health,other,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,low,0,1
238,M,16,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,normal,high,2,0
239,M,16,Urban,greater than 3 persons,secondary education,5th to 9th grade,at_home,other,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,0,1
240,M,17,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,high,0,1
241,F,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,home,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,very high,4,1
242,F,16,Urban,greater than 3 persons,higher education,primary education (4th grade),other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,0,1
243,F,18,Urban,3 persons or less,5th to 9th grade,higher education,services,other,course,mother,15 to 30 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,good,medium,18,1
244,F,18,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,at_home,services,course,mother,less than 15 min.,2 to 5 hours,1,no,yes,no,no,no,yes,yes,excellent,medium,16,1
245,F,18,Urban,greater than 3 persons,secondary education,secondary education,other,other,course,mother,15 to 30 min.,less than 2 hours,1,no,no,no,no,yes,no,yes,good,very low,14,0
246,M,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,at_home,course,other,less than 15 min.,less than 2 hours,1,no,yes,no,yes,no,no,yes,good,high,26,0
247,M,17,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,no,yes,yes,good,low,6,0
248,F,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,other,course,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,no,excellent,high,4,1
249,F,17,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,at_home,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,10,1
250,F,16,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,other,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,no,yes,excellent,medium,4,1
251,F,17,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),at_home,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,no,no,yes,yes,yes,no,bad,very low,2,1
252,F,17,Rural,3 persons or less,primary education (4th grade),higher education,other,other,course,other,more than 1 hour,less than 2 hours,1,no,yes,no,no,yes,yes,yes,excellent,very high,14,0
253,M,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,services,reputation,father,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,no,yes,excellent,very high,16,0
254,F,17,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,less than 2 hours,1,no,yes,no,no,no,no,yes,normal,very low,8,1
255,F,17,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,good,medium,4,1
256,F,17,Urban,3 persons or less,higher education,5th to 9th grade,teacher,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,good,medium,4,1
257,M,17,Urban,3 persons or less,higher education,secondary education,health,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,bad,very high,8,1
258,M,17,Rural,3 persons or less,higher education,higher education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,normal,medium,0,1
259,M,16,Urban,3 persons or less,higher education,secondary education,teacher,other,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,no,yes,yes,excellent,high,7,1
260,M,16,Urban,greater than 3 persons,higher education,higher education,services,services,course,mother,less than 15 min.,less than 2 hours,0,no,no,yes,yes,yes,yes,yes,excellent,medium,4,1
261,F,17,Urban,greater than 3 persons,higher education,higher education,teacher,services,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,excellent,medium,2,1
262,M,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,father,15 to 30 min.,5 to 10 hours,0,no,no,no,no,no,yes,yes,good,medium,2,1
263,F,17,Urban,greater than 3 persons,secondary education,secondary education,services,other,home,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,low,10,1
264,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,less than 15 min.,2 to 5 hours,0,yes,no,no,no,no,yes,no,good,medium,10,1
265,F,18,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,other,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,no,yes,yes,good,high,10,1
266,M,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,mother,30 min. to 1 hour,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,medium,7,1
267,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,medium,4,1
268,M,17,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,other,course,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,excellent,low,2,1
269,M,22,Urban,greater than 3 persons,secondary education,primary education (4th grade),services,services,other,mother,less than 15 min.,less than 2 hours,3,no,no,no,no,no,no,yes,excellent,high,12,0
270,M,18,Rural,3 persons or less,secondary education,secondary education,other,services,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,8,1
271,M,16,Urban,greater than 3 persons,none,5th to 9th grade,other,other,other,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,no,yes,yes,good,medium,0,1
272,M,18,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,other,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,no,yes,good,high,8,0
273,M,16,Urban,greater than 3 persons,secondary education,secondary education,at_home,other,reputation,other,30 min. to 1 hour,2 to 5 hours,1,yes,yes,no,no,no,yes,yes,excellent,medium,4,1
274,M,18,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),services,services,other,mother,less than 15 min.,less than 2 hours,2,no,no,no,no,no,no,yes,normal,low,4,0
275,M,16,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,no,yes,no,normal,medium,2,1
276,M,17,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,no,yes,yes,good,high,0,1
277,M,17,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),health,other,course,mother,15 to 30 min.,less than 2 hours,1,no,yes,no,yes,yes,yes,yes,good,high,0,1
278,F,18,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,good,medium,2,1
279,F,17,Urban,3 persons or less,higher education,5th to 9th grade,teacher,services,reputation,mother,less than 15 min.,more than 10 hours,0,no,yes,no,yes,yes,yes,yes,good,low,2,1
280,F,19,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
281,M,18,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),services,other,course,mother,30 min. to 1 hour,2 to 5 hours,1,no,no,no,yes,no,no,yes,good,high,4,1
282,F,17,Rural,greater than 3 persons,higher education,5th to 9th grade,other,other,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,2,1
283,F,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,at_home,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,no,yes,no,good,high,4,1
284,F,18,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,normal,low,4,1
285,M,19,Urban,3 persons or less,higher education,secondary education,services,at_home,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,4,1
286,F,15,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,good,medium,6,1
287,F,15,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,services,course,father,less than 15 min.,2 to 5 hours,0,no,no,no,no,no,yes,no,bad,medium,6,1
288,M,16,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,no,yes,normal,medium,16,0
289,M,15,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),services,other,course,mother,more than 1 hour,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,very high,0,1
290,M,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,other,course,mother,less than 15 min.,less than 2 hours,2,no,no,no,no,yes,no,yes,bad,medium,0,0
291,M,16,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,less than 15 min.,less than 2 hours,1,no,no,no,yes,yes,yes,no,good,high,6,1
292,F,15,Rural,greater than 3 persons,secondary education,secondary education,services,services,reputation,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,good,low,2,1
293,M,19,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,at_home,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,no,yes,good,very high,6,1
294,F,17,Urban,greater than 3 persons,higher education,higher education,other,teacher,course,mother,less than 15 min.,less than 2 hours,0,yes,yes,no,no,yes,yes,no,good,low,0,1
295,M,15,Rural,greater than 3 persons,5th to 9th grade,secondary education,at_home,services,course,mother,less than 15 min.,2 to 5 hours,0,yes,no,yes,yes,yes,yes,no,good,high,0,0
296,M,17,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,other,other,reputation,mother,less than 15 min.,less than 2 hours,3,no,no,no,no,yes,yes,no,bad,low,14,1
297,F,18,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,30 min. to 1 hour,less than 2 hours,3,no,yes,no,yes,no,yes,no,excellent,low,6,1
298,M,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,30 min. to 1 hour,less than 2 hours,0,no,no,no,no,no,yes,no,good,low,4,1
299,M,16,Urban,greater than 3 persons,secondary education,secondary education,other,services,course,father,less than 15 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,good,very high,0,0
300,M,16,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,health,services,course,mother,15 to 30 min.,less than 2 hours,2,no,no,no,no,no,yes,yes,good,high,0,1
301,M,17,Rural,3 persons or less,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,15 to 30 min.,less than 2 hours,1,no,no,yes,yes,yes,no,yes,normal,medium,8,0
302,M,17,Rural,greater than 3 persons,secondary education,5th to 9th grade,other,other,course,mother,15 to 30 min.,2 to 5 hours,2,yes,yes,no,no,yes,yes,yes,good,high,4,0
303,M,15,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,other,other,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,no,good,high,2,1
304,M,16,Urban,greater than 3 persons,primary education (4th grade),secondary education,at_home,services,course,father,less than 15 min.,less than 2 hours,1,no,no,no,no,yes,no,yes,excellent,medium,2,0
305,M,17,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),other,services,course,mother,more than 1 hour,2 to 5 hours,0,no,no,no,yes,yes,no,no,excellent,medium,0,0
306,M,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,services,course,mother,15 to 30 min.,less than 2 hours,3,no,yes,no,yes,no,no,no,good,very high,10,0
307,M,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,father,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,no,yes,good,medium,0,1
308,F,16,Urban,greater than 3 persons,higher education,5th to 9th grade,health,services,home,father,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,low,0,1
309,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,excellent,very low,0,1
310,F,16,Urban,greater than 3 persons,higher education,higher education,health,health,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
311,M,16,Urban,greater than 3 persons,secondary education,higher education,other,other,course,father,30 min. to 1 hour,less than 2 hours,1,no,yes,no,yes,no,yes,yes,normal,high,4,1
312,M,16,Urban,greater than 3 persons,primary education (4th grade),none,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
313,M,17,Urban,3 persons or less,higher education,higher education,teacher,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,high,0,1
314,F,16,Urban,greater than 3 persons,primary education (4th grade),secondary education,at_home,services,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,medium,0,1
315,M,18,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,low,2,1
